strategy,avg_return,avg_volatility,avg_sharpe,num_stocks
gbdt,0.5068904464707411,0.3293493144531189,1.0318162189498128,10
macd,0.4836810056845525,0.2584854344812422,1.256640924645229,10
arima,0.2747899742338251,0.36172237159284687,0.9547357028245325,10
finrl_sac,0.14410270603915273,0.26551340468390744,0.49750545490987214,10
eata,0.1434780408701242,0.370646873512252,0.45588579116383904,10
buy_and_hold,0.13370133233867854,0.3620317994750826,0.44355130809908994,10
gp,0.13307738874480712,0.361603580590084,0.40437051180834943,10
finrl_td3,0.09158979910716866,0.2487401452224498,0.31366335922936567,10
finrl_ppo,0.042461129756263476,0.11092134639653484,0.3005474137206898,10
finrl_a2c,0.04018112178671608,0.29409018402280285,0.2318133169486641,10
lstm,0.01770989561099301,0.31536212176670847,0.15441957188554586,10
transformer,0.011366673370475455,0.17949286038629317,-0.06570682376799294,10
finrl_ddpg,0.0,,0.0,10
