variant,ticker,annual_return,sharpe_ratio,max_drawdown,win_rate,volatility,rl_reward,experiment_id,timestamp,error
EATA-Full,AAPL,1.069013240271262,2.3499698939702087,0.2286456143149986,0.5441389290882779,0.3234655096094959,0.983181173497707,20260228_230521,2026-02-28T23:34:58.758281,
EATA-Full,MSFT,-0.0034486740974013497,0.07072332105890526,0.28591012725379594,0.5021707670043415,0.2981062527983237,0.9687867271525151,20260228_230521,2026-03-01T00:00:03.437452,
EATA-Full,NVDA,0.30134628566681343,0.7171571820069449,0.5185955908789048,0.5238784370477568,0.545979986481244,0.9338514552779774,20260228_230521,2026-03-01T00:37:33.503399,
EATA-Full,GOOG,0.11954922626098652,0.4540461708358632,0.26110893518447886,0.5065123010130246,0.3122510336287623,0.9740814438386641,20260228_230521,2026-03-01T00:57:08.270209,
EATA-Full,JPM,-0.054299601896230065,-0.033905217213408265,0.5139224677751851,0.48914616497829233,0.35706366839176695,0.9782402882055975,20260228_230521,2026-03-01T01:11:33.057924,
EATA-Full,BAC,0.07593184488550242,0.33002276570039074,0.41133726090691,0.48625180897250364,0.37917497016890933,0.959208040130844,20260228_230521,2026-03-01T02:11:58.128908,
EATA-Full,XOM,0.43969293680186317,1.0825108555378293,0.33641192291584815,0.5369030390738061,0.3876761345173476,0.975385874286905,20260228_230521,2026-03-01T02:39:04.791817,
EATA-Full,JNJ,0.13712441202405667,0.6399193421348737,0.22083165085483922,0.5094066570188133,0.20119996066940146,0.9593006055127632,20260228_230521,2026-03-01T02:54:12.087340,
EATA-Full,KO,-0.040065230405259444,-0.14143908309824127,0.45553769724231236,0.49782923299565845,0.23514741521251614,0.9820576901079886,20260228_230521,2026-03-01T03:06:25.955546,
EATA-Full,CAT,0.2584380196578262,0.7885369325440432,0.28424527876582045,0.5296671490593343,0.3392964867812795,0.9817586522510242,20260228_230521,2026-03-01T03:20:57.304752,
EATA-NoNN,AAPL,0.7309698289698692,1.8136979716020052,0.27483578289518895,0.5296671490593343,0.31985443998308105,0.9666653457680645,20260228_230521,2026-03-01T03:38:32.012493,
EATA-NoNN,MSFT,-0.002622061046790636,0.07619972405672454,0.34346629470477436,0.5412445730824892,0.30017810218684826,0.9806606091849815,20260228_230521,2026-03-01T04:27:34.396893,
EATA-NoNN,NVDA,0.12627194769625638,0.4474089458747497,0.6769315842238481,0.5151953690303908,0.5110564915275154,0.9662316265320586,20260228_230521,2026-03-01T04:47:38.405643,
EATA-NoNN,GOOG,-0.26656377924177,-0.8625792403083186,0.6989914204368585,0.47467438494934877,0.32183017224878346,0.9774816254864565,20260228_230521,2026-03-01T05:09:21.492858,
EATA-NoNN,JPM,-0.09493762444819209,-0.16384737543721375,0.6643443687492862,0.5137481910274964,0.35207952734420916,0.9815288738837082,20260228_230521,2026-03-01T05:34:07.269150,
EATA-NoNN,BAC,-0.033740286530169916,0.03560976429256042,0.44735900066324863,0.492040520984081,0.3657419569870176,0.9507836561412472,20260228_230521,2026-03-01T06:10:22.923708,
EATA-NoNN,XOM,-0.1542407472724614,-0.27218697234202016,0.5421885527232324,0.48625180897250364,0.39794338552463077,0.9749238897241796,20260228_230521,2026-03-01T06:24:48.444163,
EATA-NoNN,JNJ,0.042787202234856325,0.2095981837632298,0.18706886832117023,0.5108538350217077,0.19703328214165652,0.9839778242812172,20260228_230521,2026-03-01T07:10:17.640991,
EATA-NoNN,KO,0.13787109549911092,0.5952671632051187,0.2660673661983158,0.5036179450072359,0.22648231693270912,0.9826716684911543,20260228_230521,2026-03-01T07:22:02.866485,
EATA-NoNN,CAT,0.07394429365223565,0.3219497812530238,0.3808204146857218,0.5282199710564399,0.34868099368972605,0.9749221059352287,20260228_230521,2026-03-01T07:27:36.252859,
