variant,ticker,objective,annual_return,sharpe_ratio,max_drawdown,win_rate,volatility,rl_reward,experiment_id,timestamp,error
EATA-Simple-MSE,AAPL,MSE,0.2861388152652835,0.8668184227029853,0.34071056889355106,0.5253256150506512,0.33006350205107143,0.9993005623605702,20260302_105333,2026-03-02T11:23:14.038169,
EATA-Simple-KL,AAPL,KL,0.023810907121073477,0.14053655892793201,0.2854107136414575,0.3473227206946454,0.2518900692890451,0.19975923113021615,20260302_105333,2026-03-02T11:23:14.038169,
EATA-Simple-JS,AAPL,JS,0.011284613996954906,0.09210279907518498,0.2854107136414575,0.3473227206946454,0.25250305526561934,0.5691612361443559,20260302_105333,2026-03-02T11:23:14.038169,
EATA-Simple-CVAR,AAPL,CVAR,0.17138703260736365,0.6055521525940392,0.31728292087133747,0.4602026049204052,0.3046562351155742,0.9622782400345276,20260302_105333,2026-03-02T11:23:14.038169,
EATA-Simple,AAPL,AVERAGE,0.12315534224766889,0.4262524833250354,0.3072037292619509,0.4200434153400868,0.2847782154303275,0.6826248174174174,20260302_105333,2026-03-02T11:23:14.038169,
EATA-Simple-MSE,MSFT,MSE,-0.05339812739458938,-0.09739660037792615,0.5339448135182854,0.48914616497829233,0.3017120869868356,0.9962798292944858,20260302_105333,2026-03-02T11:55:02.829790,
EATA-Simple-KL,MSFT,KL,-0.239933544474915,-0.8755480215921346,0.5613227689384062,0.3849493487698987,0.28836930988728127,0.19313572095686235,20260302_105333,2026-03-02T11:55:02.829790,
EATA-Simple-JS,MSFT,JS,-0.19578660783438917,-0.6562687065064902,0.5652362237437906,0.46599131693198265,0.2957329777628749,0.5693445534931828,20260302_105333,2026-03-02T11:55:02.829790,
EATA-Simple-CVAR,MSFT,CVAR,-0.3200076427197438,-1.2686431893224304,0.707326255653509,0.37771345875542695,0.28701308487365235,0.9727782000821753,20260302_105333,2026-03-02T11:55:02.829790,
EATA-Simple,MSFT,AVERAGE,-0.20228148060590934,-0.7244641294497454,0.5919575154634978,0.42945007235890015,0.293206864877661,0.6828845759566765,20260302_105333,2026-03-02T11:55:02.829790,
EATA-Simple-MSE,NVDA,MSE,0.4041066870839283,0.8768809420506384,0.6341263228875378,0.5253256150506512,0.5145406171795307,0.9954536295367475,20260302_105333,2026-03-02T12:24:14.486525,
EATA-Simple-KL,NVDA,KL,0.07295160062703121,-0.6782321255719488,1.34404882084888,0.48914616497829233,54.77832520645866,0.13976592113242264,20260302_105333,2026-03-02T12:24:14.486525,
EATA-Simple-JS,NVDA,JS,0.8585422607770024,1.5659175271848707,0.2673423168937878,0.5354558610709117,0.4473069820975475,0.5622460304235868,20260302_105333,2026-03-02T12:24:14.486525,
EATA-Simple-CVAR,NVDA,CVAR,0.533053462146865,0.9806104043728258,0.6186494907050655,0.5340086830680174,0.5998409675239731,0.9533571828719362,20260302_105333,2026-03-02T12:24:14.486525,
EATA-Simple,NVDA,AVERAGE,0.4671635026587067,0.6862941870090965,0.7160417378338177,0.5209840810419681,14.085003443314928,0.6627056909911733,20260302_105333,2026-03-02T12:24:14.486525,
EATA-Simple-MSE,GOOG,MSE,0.29669247505008056,0.9387803903583273,0.2951404664241594,0.5282199710564399,0.30509764627203656,0.876702583360223,20260302_105333,2026-03-02T13:17:26.101476,
EATA-Simple-KL,GOOG,KL,-0.20945034821975772,-0.6799298520155242,0.5812555300596834,0.4182344428364689,0.3061207004391154,0.1997474759286002,20260302_105333,2026-03-02T13:17:26.101476,
EATA-Simple-JS,GOOG,JS,0.08978324599063847,0.3930059957553086,0.22161989814121688,0.3849493487698987,0.24360873166197358,0.5728459992498108,20260302_105333,2026-03-02T13:17:26.101476,
EATA-Simple-CVAR,GOOG,CVAR,0.2455934538107083,0.8149750538944516,0.17611305736793442,0.5267727930535456,0.30016894935581645,0.9708488154698538,20260302_105333,2026-03-02T13:17:26.101476,
EATA-Simple,GOOG,AVERAGE,0.1056547066579174,0.36670789699814077,0.31853223799824854,0.4645441389290883,0.2887490069322355,0.6550362185021219,20260302_105333,2026-03-02T13:17:26.101476,
EATA-Simple-MSE,JPM,MSE,-0.07072288424121265,-0.10603393954519559,0.4422323994471316,0.5123010130246021,0.338721594567706,0.9991989658382708,20260302_105333,2026-03-02T13:43:11.659539,
EATA-Simple-KL,JPM,KL,0.10346230255212019,0.43045833394685346,0.4064312009076389,0.42257597684515197,0.26008640201435945,0.17040257150827076,20260302_105333,2026-03-02T13:43:11.659539,
EATA-Simple-JS,JPM,JS,0.07274869303675335,0.3418355232751207,0.28771935546548594,0.38060781476121563,0.21369685500419985,0.566062483801422,20260302_105333,2026-03-02T13:43:11.659539,
EATA-Simple-CVAR,JPM,CVAR,0.16549797447069325,0.6204323348135677,0.19541444560496568,0.4934876989869754,0.2752239309590226,0.9722973093799117,20260302_105333,2026-03-02T13:43:11.659539,
EATA-Simple,JPM,AVERAGE,0.06774652145458854,0.3216730631225866,0.3329493503563056,0.45224312590448623,0.271932195636322,0.6769903326319688,20260302_105333,2026-03-02T13:43:11.659539,
EATA-Simple-MSE,BAC,MSE,0.27020747191471783,0.7687631488039549,0.41502666000817673,0.5383502170767004,0.3765303265987288,0.9982630268919745,20260302_105333,2026-03-02T14:10:15.728519,
EATA-Simple-KL,BAC,KL,-0.05142777144008659,0.44042524537311734,0.9000647117256438,0.4833574529667149,1.0356880422407666,0.1739829287572772,20260302_105333,2026-03-02T14:10:15.728519,
EATA-Simple-JS,BAC,JS,-0.008772366571183743,0.012310954666310658,0.397118675588696,0.3545586107091172,0.2531714653339901,0.5654455005417129,20260302_105333,2026-03-02T14:10:15.728519,
EATA-Simple-CVAR,BAC,CVAR,-0.2129276420952555,-0.4409942170813215,0.7481762253042482,0.4630969609261939,0.40333176088589223,0.9662114122784752,20260302_105333,2026-03-02T14:10:15.728519,
EATA-Simple,BAC,AVERAGE,-0.0007300770479519991,0.19512628294051537,0.6150965681566912,0.4598408104196816,0.5171803987648445,0.6759757171173599,20260302_105333,2026-03-02T14:10:15.728519,
EATA-Simple-MSE,XOM,MSE,0.13985730807596886,0.4802689213218139,0.3688352973646295,0.4963820549927641,0.3855730032124403,0.9851728583525097,20260302_105333,2026-03-02T14:33:42.752452,
EATA-Simple-KL,XOM,KL,0.2763391732079701,0.8656478984674992,0.28867777574030695,0.49782923299565845,0.31722286199923533,0.16898220909530326,20260302_105333,2026-03-02T14:33:42.752452,
EATA-Simple-JS,XOM,JS,,0.21912506893926867,1.3879514297994837,0.4081041968162084,83.42642038827506,0.5644417676668608,20260302_105333,2026-03-02T14:33:42.752452,
EATA-Simple-CVAR,XOM,CVAR,0.025501695178271833,0.20169817727670436,0.5561142962777293,0.4963820549927641,0.3738820057180612,0.9597742860827445,20260302_105333,2026-03-02T14:33:42.752452,
EATA-Simple,XOM,AVERAGE,,0.4416850165013216,0.6503946997955374,0.47467438494934877,21.125774564801198,0.6695927802993545,20260302_105333,2026-03-02T14:33:42.752452,
EATA-Simple-MSE,JNJ,MSE,0.10591776246634277,0.4906052254553923,0.21999586088045162,0.5108538350217077,0.20884655718798945,0.9980151466445984,20260302_105333,2026-03-02T15:32:52.821249,
EATA-Simple-KL,JNJ,KL,0.09903065500135178,0.48920853493762245,0.1731972167327504,0.5050651230101303,0.18824265833326448,0.18515354177297846,20260302_105333,2026-03-02T15:32:52.821249,
EATA-Simple-JS,JNJ,JS,-0.12247443651992151,-0.6978709035793204,0.3438303220438888,0.46164978292329956,0.18991566859968115,0.5686213099507532,20260302_105333,2026-03-02T15:32:52.821249,
EATA-Simple-CVAR,JNJ,CVAR,-0.09697392998376109,-0.4179971479816127,0.398879073797993,0.5007235890014472,0.22894993687125428,0.9789889155236928,20260302_105333,2026-03-02T15:32:52.821249,
EATA-Simple,JNJ,AVERAGE,-0.0036249872589970145,-0.03401357279197956,0.28397561836377094,0.49457308248914617,0.20398870524804735,0.6826947284730058,20260302_105333,2026-03-02T15:32:52.821249,
EATA-Simple-MSE,KO,MSE,0.14364416070978403,0.6086844208657428,0.20389807158564038,0.5180897250361794,0.23210499453257266,0.9995835121097637,20260302_105333,2026-03-02T15:53:45.003935,
EATA-Simple-KL,KO,KL,-0.05877302813736707,-0.17647233610249716,0.3391732634604442,0.5282199710564399,0.26230297174953465,0.19262869809500152,20260302_105333,2026-03-02T15:53:45.003935,
EATA-Simple-JS,KO,JS,-0.029517113925708882,-0.06882045842012394,0.2912223886769748,0.5195369030390738,0.25491923734173966,0.5698222424181625,20260302_105333,2026-03-02T15:53:45.003935,
EATA-Simple-CVAR,KO,CVAR,0.0251735555774677,0.12161712005627949,0.22985654635084699,0.4703328509406657,0.19193551036864903,0.9803683372627714,20260302_105333,2026-03-02T15:53:45.003935,
EATA-Simple,KO,AVERAGE,0.020131893556043945,0.1212521865998503,0.26603756751847657,0.5090448625180897,0.23531567849812401,0.6856006974714248,20260302_105333,2026-03-02T15:53:45.003935,
EATA-Simple-MSE,CAT,MSE,0.04531874239340539,0.24852504987955515,0.3697971432029529,0.5340086830680174,0.3652055465227247,0.993513299569256,20260302_105333,2026-03-02T16:15:12.606383,
EATA-Simple-KL,CAT,KL,0.059157239976554976,0.2782327716088461,0.43958024325327605,0.5007235890014472,0.3320912249770319,0.191291965209648,20260302_105333,2026-03-02T16:15:12.606383,
EATA-Simple-JS,CAT,JS,-0.18836667431421217,-0.6128816053161777,0.5247650337059367,0.3719247467438495,0.29952000422971153,0.5667683203977986,20260302_105333,2026-03-02T16:15:12.606383,
EATA-Simple-CVAR,CAT,CVAR,-0.1694149161341767,-0.4692792040023138,0.5754435025027202,0.487698986975398,0.3251339773932815,0.9487956482702811,20260302_105333,2026-03-02T16:15:12.606383,
