Date,Action,Predicted_Q25,Predicted_Q75,Actual_Q25,Actual_Q75,RL_Reward
2010-12-13,0,0.0,0.0,-0.009714201455430643,0.0015916256378537322,0.988193382413645
2010-12-15,0,0.0,0.0,-0.013329973955944948,0.0,0.9882155079293014
2010-12-17,1,6.819865186492158e-05,7.507069028702827e-05,-0.013329973955944948,0.0002610342843191503,0.9894556208981709
2010-12-21,1,6.540609790342868e-05,7.200257635603833e-05,-0.013329973955944948,0.0002610342843191503,0.9897157358223639
2010-12-23,1,0.0006269351070092783,0.000652478925390726,-0.013329973955944948,0.0,0.9892999593681513
2010-12-28,1,0.0005901665591555756,0.0006113109117551916,-0.013329973955944948,0.0002610342843191503,0.989017126848261
2010-12-30,1,0.0003997820570785313,0.0004155363425869962,-0.013329973955944948,0.0014341345596469793,0.9885081484186105
2011-01-03,0,0.0,0.0,-0.013029736282140228,0.0014341345596469793,0.9894928647526399
2011-01-05,0,0.0,0.0,-0.01292667022539498,0.00392677431125644,0.9896323771196781
2011-01-07,-1,-0.0024149060421372872,-0.002191874526838024,-0.0011745364903596421,0.008215788970470301,0.9923022502567976
2011-01-11,0,0.0,0.0,-0.0011745364903596421,0.005005510419273586,0.9945205126654014
2011-01-13,0,0.0,0.0,-0.00026076201301736783,0.007250110083680252,0.994659627066964
2011-01-18,0,0.0,0.0,-0.00026076201301736783,0.009504003128829605,0.9937850764198961
2011-01-20,0,0.0,0.0,0.0,0.010575287719939156,0.9927341440983811
2011-01-24,-1,-0.0037015385290334276,-0.0032259552620421453,0.0,0.010575287719939156,0.9896024936517951
2011-01-26,-1,-0.0034606659210221135,-0.003029723715116106,-0.0017910782742227118,0.010575287719939156,0.9899215153137663
2011-01-28,0,0.0,0.0,-0.00026151225007574027,0.010313972150086595,0.9919510901551309
2011-02-01,0,0.0,0.0,-0.004754867372170948,0.010076036882486311,0.9914958754414401
2011-02-03,-1,-0.0032764073786658303,-0.002881104036353587,-0.007049381515167447,0.010076036882486311,0.9894112622162946
2011-02-07,-1,-0.0031415607579209103,-0.002766974862157066,-0.007049381515167447,0.010076036882486311,0.9892485148495054
2011-02-09,-1,-0.0030194512501332737,-0.00266360151090722,-0.008255095238885981,0.010076036882486311,0.9884237532814634
2011-02-11,-1,-0.0028949011200706844,-0.0025585436542857293,-0.012416043992325891,0.010076036882486311,0.9881752090096045
2011-02-15,-1,-0.0028409802335636965,-0.002512285600431339,-0.01572730476086704,0.008355493608529989,0.9883389755554057
2011-02-17,-1,-0.002627684644252496,-0.002329898080830877,-0.01572730476086704,0.0034318850960011167,0.989020998846668
2011-02-22,-1,-0.002994067643639949,-0.002656543401651479,-0.013881508993144838,0.006961492000928132,0.9896788010948722
2011-02-24,-1,-0.0029178781706752253,-0.0025918398045010334,-0.013881508993144838,0.008355493608529989,0.9895236184753236
2011-02-28,0,0.0,0.0,-0.013881508993144838,0.008355493608529989,0.9888737271385447
2011-03-02,0,0.0,0.0,-0.008733038435436836,0.00923924024949299,0.9892101738574764
2011-03-04,0,0.0,0.0,-0.006277586855925569,0.010200392240132654,0.989355518362573
2011-03-08,0,0.0,0.0,-0.006277586855925569,0.010200392240132654,0.9897855313160016
2011-03-10,-1,-0.001001671263593269,-0.0008366638400911493,-0.006277586855925569,0.010834439610878203,0.9870498592575895
2011-03-14,0,0.0,0.0,-0.0014945476261335859,0.010834439610878203,0.9884093918884309
2011-03-16,0,0.0,0.0,0.0,0.010834439610878203,0.9895635464349597
2011-03-18,0,0.0,0.0,0.0,0.010834439610878203,0.989634174986308
2011-03-22,0,0.0,0.0,0.0,0.013541340353150896,0.9884240753084128
2011-03-24,0,0.0,0.0,0.0,0.013541340353150896,0.9883783565279101
2011-03-28,0,0.0,0.0,-0.0004488432932513333,0.013216534713820397,0.9887632819223588
2011-03-30,0,0.0,0.0,-0.0024906989841460255,0.010732831475577888,0.9887125909377531
2011-04-01,1,0.0006008705127959889,0.000666516386120673,-0.0024906989841460255,0.007058307446595361,0.9905328964478831
2011-04-05,1,0.0006073462188441075,0.0006741265870124165,-0.0024906989841460255,0.00675942475254762,0.9905914389513399
2011-04-07,1,0.0009099289259542618,0.0010161728168573804,-0.0024906989841460255,0.00549725292120525,0.9932327291524079
2011-04-11,1,0.0011706065892967135,0.0013270784661947592,-0.0004488432932513333,0.00675942475254762,0.9929836755651975
