Date,Action,Predicted_Q25,Predicted_Q75,Actual_Q25,Actual_Q75,RL_Reward
2010-12-14,1,0.0,0.004601079407025234,-0.009835616466448392,0.0073478858060889865,0.9919635359611727
2010-12-16,1,0.00749153393640316,0.008537367397411007,-0.008496412506923946,0.0073478858060889865,0.9888142275342637
2010-12-20,1,0.007411929622245579,0.00845847531868695,-0.010203759664130911,0.0063409461397848895,0.9872713914525362
2010-12-22,0,0.0,0.0,-0.010203759664130911,0.0063409461397848895,0.9899434406576233
2010-12-27,0,0.0,0.0,-0.010203759664130911,0.0034315369221257445,0.9901786681564713
2010-12-29,1,0.006121916424302777,0.006856196997834054,-0.010203759664130911,0.00790013573711974,0.9877993610392385
2010-12-31,1,0.0033652387285093227,0.0036795524600338756,-0.01362495313358451,0.009902815598646425,0.988193035912904
2011-01-04,1,0.0017400201461653846,0.0017428524668917512,-0.010203759664130911,0.011044965855353224,0.988133519710165
2011-01-06,1,0.0009999001414621614,0.001100665050597876,-0.010203759664130911,0.011285532027288594,0.9867264833629839
2011-01-10,1,0.0006096559956213022,0.0007765127138681235,-0.008854695347704744,0.010794427519156952,0.9882930304764178
2011-01-12,0,0.0,0.0,-0.008593935645134724,0.010794427519156952,0.9885342141321287
2011-01-14,0,0.0,0.0,-0.008854695347704744,0.009983004322624882,0.9881195553041681
2011-01-19,1,0.9998338208075863,1.0030659306310108,-0.008593935645134724,0.009983004322624882,0.49915150720495965
2011-01-21,-1,-0.0009396448921156395,-0.000463846114141572,-0.008593935645134724,0.011285532027288594,0.9868705080666974
2011-01-25,-1,-0.0009061954934653056,-0.0004924376123057656,-0.00879845844730716,0.011285532027288594,0.9865777217647391
2011-01-27,1,0.000292336292244801,0.0004943899915130814,-0.00879845844730716,0.011285532027288594,0.985560292175253
2011-01-31,-1,-0.0006512227740890603,-0.00029261403377195297,-0.00879845844730716,0.010622052780944469,0.9857897023581628
2011-02-02,1,0.0005621985218011741,0.0007506046343323932,-0.00879845844730716,0.010622052780944469,0.986050085678177
