Date,Action,Predicted_Q25,Predicted_Q75,Actual_Q25,Actual_Q75,RL_Reward
2010-12-14,0,0.0,0.00243473853620338,-0.00470634912818386,0.009192912734688412,0.9918791624258373
2010-12-16,0,0.0,0.0,-0.00470634912818386,0.009192912734688412,0.9915604248367962
2010-12-20,1,0.0013534187163431047,0.0014087158399884168,-0.0050984039409475304,0.00528325928149895,0.9913482641063665
2010-12-22,0,0.0,0.0,-0.005867353451991629,0.00528325928149895,0.9901930218386084
2010-12-27,0,0.0,0.0,-0.0069258665989498465,0.00473955703178881,0.9888062454809586
2010-12-29,0,0.0,0.0,-0.0069258665989498465,0.009192912734688412,0.9876031329587297
2010-12-31,0,0.0,0.0,-0.00806271859588939,0.01160375540958776,0.9860505868339151
2011-01-04,0,0.0,0.0,-0.00806271859588939,0.01160375540958776,0.9861456676421639
2011-01-06,0,0.0,0.0,-0.00806271859588939,0.013384527674654364,0.9860103805326874
2011-01-10,0,0.0,0.0,-0.00806271859588939,0.012431061461654559,0.9859712362559884
2011-01-12,0,0.0,0.0,-0.00806271859588939,0.012900988413911685,0.9855604377568005
2011-01-14,0,0.0,0.0,-0.010221423025879214,0.012412797689978588,0.9856949183649663
2011-01-19,-1,-0.0021116322177248976,-0.0014723507217824481,-0.010046114258947473,0.012412797689978588,0.9861159619348873
2011-01-21,-1,-0.002611008779680011,-0.0018701764544697829,-0.01707671290510068,0.012412797689978588,0.9829631345857264
2011-01-25,0,0.0,0.0,-0.02054617971524079,0.012412797689978588,0.982679938398978
2011-01-27,0,0.0,0.0,-0.02054617971524079,0.012412797689978588,0.9824030456020105
2011-01-31,0,0.0,0.0,-0.019828524419619797,0.011633300319302842,0.9824549606584871
2011-02-02,1,0.00025645951688850173,0.00033624799751295046,-0.019828524419619797,0.011633300319302842,0.9828732992843239
2011-02-04,1,0.001294202471762396,0.0014054174837529266,-0.019828524419619797,0.009522439948592198,0.9824588062947102
2011-02-08,0,0.0,0.0,-0.019828524419619797,0.008038889057865007,0.9829870928581156
2011-02-10,0,0.0,0.0,-0.020655688248373175,0.002270762508318276,0.9801700468580853
2011-02-14,0,0.0,0.0,-0.022893531300729415,0.0032512624821552506,0.9796973172272321
2011-02-16,0,0.0,0.0,-0.022893531300729415,0.004711036738011076,0.980256202502471
2011-02-18,1,0.006918002093207834,0.0069711180019285095,-0.018772972281573312,0.006252530951440665,0.9812940826878261
2011-02-23,-1,-0.0006671021437187248,-0.00028426050286450063,-0.01599688327724253,0.006252530951440665,0.9848439119908624
2011-02-25,0,0.0,0.0,-0.01599688327724253,0.006252530951440665,0.9850024682750066
2011-03-01,0,0.0,0.0,-0.011521955320076358,0.009208560268687136,0.9850684230052191
2011-03-03,-1,-0.002088878130970094,-0.0016627011954206087,-0.011521955320076358,0.004711036738011076,0.9869843168825302
2011-03-07,-1,-0.0007530197294431597,-0.0003181296439303525,-0.011699290681173662,0.004711036738011076,0.985349430429883
2011-03-09,-1,-0.00045222877904678275,-0.00017238702270825582,-0.011699290681173662,0.005945176918214898,0.9847608600417255
2011-03-11,-1,-0.0022867748091471166,-0.0017853344407567087,-0.005776275945780932,0.005945176918214898,0.9882235026919381
2011-03-15,-1,-0.002450638013300883,-0.001985339707173112,-0.003840884659652968,0.009156397195470527,0.9881803159148184
2011-03-17,0,0.0,0.0,-0.003840884659652968,0.013766100930856394,0.9881049300760206
2011-03-21,0,0.0,0.0,-0.005776275945780932,0.009156397195470527,0.989410309018076
2011-03-23,0,0.0,0.0,-0.005776275945780932,0.013766100930856394,0.9878727586466014
2011-03-25,0,0.0,0.0,-0.003816811907631165,0.01429948209292191,0.9863402712372014
2011-03-29,-1,-0.00181296245463303,-0.001618940006973974,-0.001305243290184422,0.01429948209292191,0.9867184373571548
2011-03-31,-1,-0.0026970629315587152,-0.0024311920572751516,-0.0029638355997829995,0.01429948209292191,0.9865816704106786
2011-04-04,-1,-0.003575219166644323,-0.003248655864374413,-0.0029638355997829995,0.01429948209292191,0.988042961979406
2011-04-06,0,0.0,0.0,-0.003901229748759975,0.009163022640562882,0.9898202715365654
2011-04-08,0,0.0,0.0,-0.003901229748759975,0.015059547200687896,0.9881488760894273
2011-04-12,-1,-0.002358030333943095,-0.0019180427600445878,-0.004751412066258275,0.016268428023085278,0.9882838091925582
2011-04-14,-1,-0.0018863549971630457,-0.0015321950926782137,-0.004751412066258275,0.00958537428017246,0.9889799221759404
2011-04-18,-1,-0.0026025766128731035,-0.002132084475674152,-0.00612421684979916,0.00958537428017246,0.9882425865732732
2011-04-20,-1,-0.0018297803501917172,-0.0014534389077040385,-0.004751412066258275,0.016259567944501216,0.9881857331175964
2011-04-25,1,0.00029520787216566274,0.0004348721084942079,-0.0074604538873939835,0.006601962383527957,0.9895716469540606
2011-04-27,1,0.0018813753450063813,0.0020584762535804514,-0.009344502556197372,0.0054810392554239746,0.988004922123892
2011-04-29,1,0.0010881737634390975,0.0011269453093605626,-0.009344502556197372,0.008994527526204022,0.9854566037301871
2011-05-03,1,0.0016455748522250472,0.0018356179543131043,-0.014191217343107139,0.007705770476866893,0.9840139801077488
2011-05-05,1,0.000760808811924643,0.0007851998013761072,-0.01567875610520954,0.007705770476866893,0.9835804181955466
2011-05-09,1,0.0016504174400810987,0.0017647434941211438,-0.016411665789299947,0.0050785392731995576,0.9834607323928066
2011-05-11,1,0.0021462211708753055,0.002328822775333539,-0.016411665789299947,0.004564202269399964,0.9835923570201316
2011-05-13,1,0.0026055316743298215,0.002910261818185101,-0.018289751647477082,0.004564202269399964,0.9821130466269853
2011-05-17,1,0.0011670774722631423,0.0012649862277114387,-0.018216824425536647,0.007278711928679321,0.9826813587471103
2011-05-19,1,0.0025087125851821334,0.0027797587659671857,-0.019279388858855374,0.004564202269399964,0.9828406661150433
2011-05-23,1,0.001134787895403536,0.0012057828571442764,-0.019279388858855374,0.00569355863692605,0.983444817186878
2011-05-25,1,0.0003445211318402757,0.00036655154066871505,-0.0143720830506852,0.008182627098956107,0.984264922782372
2011-05-27,1,0.003281574985245339,0.0037366336557477474,-0.019279388858855374,0.008182627098956107,0.9842214347632503
2011-06-01,1,0.0017653907065488313,0.002022014716742105,-0.015689228988378826,0.008182627098956107,0.9854732055564286
2011-06-03,1,0.0010974742363857354,0.0012945129962321253,-0.013667122949118773,0.015498905447710667,0.9827587073924181
2011-06-07,1,0.0004924787242143924,0.0006394733904053711,-0.009563928471507737,0.015498905447710667,0.9835690045307701
2011-06-09,1,0.0004103907713871892,0.0005705962529876088,-0.007929819912316748,0.015498905447710667,0.9836808348689018
2011-06-13,-1,-0.0013194197807300857,-0.0011973817994058807,-0.009063227138721583,0.015498905447710667,0.9836007304817508
2011-06-15,-1,-0.0006183740941804223,-0.0005170516362857555,-0.014425329215428119,0.008460228795882653,0.9831783281055506
2011-06-17,-1,-0.0025937455245777967,-0.002188275701885829,-0.011978705726965553,0.013322866957393306,0.9831459803498428
2011-06-21,-1,-0.000507838448106647,-0.0004065174830118488,-0.014425329215428119,0.013322866957393306,0.9811787125724432
2011-06-23,-1,-0.0005302823854870077,-0.000403870546720026,-0.014425329215428119,0.02166023121505355,0.9803293709612811
2011-06-27,-1,-0.0002654023077902133,-0.00025329219912304527,-0.014425329215428119,0.010937123617793199,0.9817490642249711
