run_id,method,step,best_reward
1,eata,1,0.027685055333125846
1,eata,2,0.043811204413042856
1,eata,3,0.09026548259712881
1,eata,4,0.10633437193182971
1,eata,5,0.1689107899499644
1,eata,6,0.23722169310252894
1,eata,7,0.23722169310252894
1,eata,8,0.23722169310252894
1,eata,9,0.2951458713490973
1,eata,10,0.3169960282125412
1,eata,11,0.33436283710658127
1,eata,12,0.33436283710658127
1,eata,13,0.37749345626665437
1,eata,14,0.4215528022740308
1,eata,15,0.4215528022740308
1,eata,16,0.4292347258654063
1,eata,17,0.4292347258654063
1,eata,18,0.44356544546555543
1,eata,19,0.4455920925731598
1,eata,20,0.5117163564554252
1,eata,21,0.5117163564554252
1,eata,22,0.560849086747686
1,eata,23,0.5734762015447774
1,eata,24,0.5786514830098225
1,eata,25,0.5786514830098225
1,eata,26,0.5974218963237644
1,eata,27,0.626004401168092
1,eata,28,0.644237161095795
1,eata,29,0.644237161095795
1,eata,30,0.6518382910040373
1,eata,31,0.6518382910040373
1,eata,32,0.6654521258314237
1,eata,33,0.7326871184879815
1,eata,34,0.7326871184879815
1,eata,35,0.7326871184879815
1,eata,36,0.7584768496452069
1,eata,37,0.7584768496452069
1,eata,38,0.7584768496452069
1,eata,39,0.7631142858255631
1,eata,40,0.7703401963114956
1,eata,41,0.7703401963114956
1,eata,42,0.7870455708914514
1,eata,43,0.8332561518611579
1,eata,44,0.8332561518611579
1,eata,45,0.8332561518611579
1,eata,46,0.8332561518611579
1,eata,47,0.8332561518611579
1,eata,48,0.887184856593068
1,eata,49,0.887184856593068
1,eata,50,0.887184856593068
1,eata,51,0.887184856593068
1,eata,52,0.887184856593068
1,eata,53,0.887184856593068
1,eata,54,0.887184856593068
1,eata,55,0.887184856593068
1,eata,56,0.8910351618254356
1,eata,57,0.9188062157814084
1,eata,58,0.9188062157814084
1,eata,59,0.9188062157814084
1,eata,60,0.9188062157814084
1,eata,61,0.9188062157814084
1,eata,62,0.9188062157814084
1,eata,63,0.9188062157814084
1,eata,64,0.9188062157814084
1,eata,65,0.9341628206708157
1,eata,66,0.9448901432746882
1,eata,67,0.9448901432746882
1,eata,68,0.9448901432746882
1,eata,69,0.9448901432746882
1,eata,70,0.9448901432746882
1,eata,71,0.9448901432746882
1,eata,72,0.9448901432746882
1,eata,73,0.968457536843822
1,eata,74,0.968457536843822
1,eata,75,0.968457536843822
1,eata,76,0.968457536843822
1,eata,77,0.968457536843822
1,eata,78,0.9880313198055539
1,eata,79,0.9880313198055539
1,eata,80,0.9880313198055539
1,eata,81,0.9880313198055539
1,eata,82,0.9880313198055539
1,eata,83,0.9880313198055539
1,eata,84,0.9880313198055539
1,eata,85,0.9880313198055539
1,eata,86,0.9880313198055539
1,eata,87,0.9934938898521908
1,eata,88,0.9934938898521908
1,eata,89,0.9934938898521908
1,eata,90,0.9934938898521908
1,eata,91,0.9934938898521908
1,eata,92,0.9970129967109915
1,eata,93,0.9970129967109915
1,eata,94,0.9970129967109915
1,eata,95,0.9970129967109915
1,eata,96,0.9970129967109915
1,eata,97,0.9970129967109915
1,eata,98,0.9970129967109915
1,eata,99,0.9970129967109915
1,eata,100,0.9970129967109915
1,eata,101,0.9970129967109915
1,eata,102,1.0433853598916
1,eata,103,1.0433853598916
1,eata,104,1.0433853598916
1,eata,105,1.0433853598916
1,eata,106,1.0433853598916
1,eata,107,1.0433853598916
1,eata,108,1.0433853598916
1,eata,109,1.0433853598916
1,eata,110,1.0433853598916
1,eata,111,1.0433853598916
1,eata,112,1.0433853598916
1,eata,113,1.0433853598916
1,eata,114,1.0433853598916
1,eata,115,1.0433853598916
1,eata,116,1.0433853598916
1,eata,117,1.0433853598916
1,eata,118,1.0433853598916
