🏆 Baseline策略对比报告
================================================================================

📊 成功策略 (9/9):
--------------------------------------------------------------------------------
策略              年化收益         夏普比率       最大回撤       总收益       
--------------------------------------------------------------------------------
buy_and_hold        32.82%      1.14    43.80%  6907.74%
macd                21.93%      1.20    34.90%  1846.30%
transformer         13.62%      0.60    30.91%    46.52%
ppo                  9.79%      0.51    40.10%    32.26%
arima                9.66%      0.47    35.41%    31.78%
lstm                 0.26%      0.11     3.37%     0.79%
eata                 0.00%      0.00     0.00%     0.00%
gp                  -6.64%     -0.11    41.05%   -18.57%
lightgbm           -16.35%     -0.51    50.91%   -41.18%
