🏆 Baseline策略对比报告
================================================================================

📊 成功策略 (9/9):
--------------------------------------------------------------------------------
策略              年化收益         夏普比率       最大回撤       总收益       
--------------------------------------------------------------------------------
buy_and_hold        32.82%      1.14    43.80%  6907.74%
macd                21.93%      1.20    34.90%  1846.30%
ppo                 10.28%      0.54    26.48%    34.03%
arima                9.66%      0.47    35.41%    31.78%
eata                 5.51%      0.71    13.00%    17.42%
lightgbm             0.00%      0.00     0.00%     0.00%
gp                  -6.64%     -0.11    41.05%   -18.57%
lstm               -18.54%     -0.60    53.18%   -45.85%
transformer        -18.54%     -0.60    53.18%   -45.85%
