🏆 Baseline策略对比报告
================================================================================

📊 成功策略 (9/9):
--------------------------------------------------------------------------------
策略              年化收益         夏普比率       最大回撤       总收益       
--------------------------------------------------------------------------------
transformer         22.75%      0.79    44.32%   151.11%
buy_and_hold        21.01%      0.83    44.32%  1637.21%
macd                 9.53%      0.57    42.54%   290.73%
ppo                  4.34%      0.29    52.27%    21.03%
lstm                 0.18%      0.21     1.40%     0.83%
eata                 0.01%      0.03     7.12%     0.06%
lightgbm           -18.51%     -0.47    74.27%   -59.97%
gp                 -27.18%     -0.81    80.78%   -75.95%
arima              -34.13%     -1.12    84.81%   -84.67%
