🏆 Baseline策略对比报告
================================================================================

📊 成功策略 (9/9):
--------------------------------------------------------------------------------
策略              年化收益         夏普比率       最大回撤       总收益       
--------------------------------------------------------------------------------
buy_and_hold        32.82%      1.14    43.80%  6907.74%
ppo                 22.32%      0.94    27.97%    82.74%
macd                21.93%      1.20    34.90%  1846.30%
transformer         13.62%      0.60    30.91%    46.52%
arima                9.66%      0.47    35.41%    31.78%
eata                 3.48%      0.26    29.48%    10.77%
lstm                 0.26%      0.11     3.37%     0.79%
gp                  -6.64%     -0.11    41.05%   -18.57%
lightgbm           -16.35%     -0.51    50.91%   -41.18%
