,code,name,weight,sector,market,stock_strength,sector_strength,market_strength,stock_momentum,strength
0,sh.600900,长江电力,3.71,sh.000032,sh.000001,1,1,1,,
1,sh.600010,包钢股份,0.697,sz.399440,sh.000001,1,1,1,,
