timestamp,ticker,strategy,run_id,success,description,lookback,lookahead,stride,depth,total_return,annualized_return,sharpe_ratio,max_drawdown,volatility,num_trades,gp_expression
20260527_214632,LRCX,buy_and_hold,1,True,买入持有策略,30,10,1,200,0.8397470254046489,0.5030505621901205,1.5732780743554458,0.22182632131926405,0.2851671160430876,0.0,
20260527_214632,LRCX,macd,1,True,MACD交叉策略,30,10,1,200,0.3867135731954019,0.244253657759252,1.2296682278910542,0.1119737763859772,0.19294017224836044,26.0,
20260527_214632,LRCX,arima,1,True,ARIMA时间序列预测,30,10,1,200,-0.39932119607306205,-0.28872627182156163,-1.0480079793122197,0.6099315239669136,0.2859417344733048,24.0,
20260527_214632,LRCX,gp,1,True,遗传编程策略,30,10,1,200,0.1105830582042171,0.07262499450699567,0.38775232260703707,0.30367640815279556,0.28647873465474105,376.0,X12
20260527_214632,LRCX,gbdt,1,True,GBDT梯度提升决策树策略,30,10,1,200,-0.5105902743043558,-0.38371980703925024,-1.5658029098969328,0.6133818493628664,0.283266761391341,4.0,
20260527_214632,LRCX,lstm,1,True,LSTM神经网络策略,30,10,1,200,-0.5135660353767646,-0.3822741001852803,-1.5753003781815478,0.6180343392173128,0.28055769823649834,1.0,
20260527_214632,LRCX,transformer,1,True,Transformer模型策略,30,10,1,200,0.01749265193939209,0.011659053104374317,0.8186652343647234,0.0,0.014282640254265854,2.0,
