🏆 Baseline策略对比报告
================================================================================

📊 成功策略 (9/9):
--------------------------------------------------------------------------------
策略              年化收益         夏普比率       最大回撤       总收益       
--------------------------------------------------------------------------------
gp                  29.26%      0.93    40.30%   216.71%
transformer         17.85%      0.66    45.62%   109.13%
buy_and_hold        12.34%      0.52    53.40%   470.62%
macd                 6.89%      0.42    54.91%   171.33%
lstm                 2.41%      0.25    26.77%    11.31%
eata                 0.04%      0.11    59.55%     0.16%
ppo                 -5.46%     -0.06    33.97%   -22.28%
lightgbm            -5.95%     -0.02    62.23%   -24.01%
arima              -36.53%     -1.19    87.05%   -87.02%
