🏆 Baseline策略对比报告
================================================================================

📊 成功策略 (9/9):
--------------------------------------------------------------------------------
策略              年化收益         夏普比率       最大回撤       总收益       
--------------------------------------------------------------------------------
buy_and_hold        23.49%      0.90    45.48%  2253.85%
transformer         20.45%      0.77    35.90%   130.63%
lstm                12.52%      0.85    16.08%    69.86%
eata                 9.81%      0.40    24.25%    45.34%
macd                 9.03%      0.59    27.93%   264.96%
lightgbm            -7.09%     -0.10    65.39%   -28.02%
gp                 -17.46%     -0.49    67.61%   -57.77%
ppo                -18.80%     -0.73    71.12%   -60.75%
arima              -33.86%     -1.23    85.01%   -84.39%
