🏆 Baseline策略对比报告
================================================================================

📊 成功策略 (9/9):
--------------------------------------------------------------------------------
策略              年化收益         夏普比率       最大回撤       总收益       
--------------------------------------------------------------------------------
eata                35.25%      1.14    18.22%   234.25%
gp                  18.81%      0.68    38.31%   116.90%
buy_and_hold        14.74%      0.57    46.79%   683.23%
transformer         12.76%      0.53    43.63%    71.51%
lightgbm             9.96%      0.45    58.89%    52.93%
macd                 9.42%      0.51    35.71%   285.00%
ppo                  1.05%      0.18    33.10%     4.82%
arima              -20.04%     -0.51    63.48%   -63.37%
lstm               -20.20%     -0.52    70.74%   -63.72%
