🏆 Baseline策略对比报告
================================================================================

📊 成功策略 (9/9):
--------------------------------------------------------------------------------
策略              年化收益         夏普比率       最大回撤       总收益       
--------------------------------------------------------------------------------
eata                57.28%      1.52    32.95%   510.87%
ppo                 37.45%      1.14    24.29%   317.45%
gp                  18.63%      0.64    40.42%   115.39%
transformer          9.16%      0.42    55.77%    48.23%
buy_and_hold         8.76%      0.44    55.77%   251.81%
macd                 7.90%      0.52    38.61%   211.98%
lstm                 6.95%      0.55    14.99%    35.22%
lightgbm            -0.24%      0.18    61.87%    -1.08%
arima              -13.37%     -0.20    58.22%   -47.51%
