🏆 Baseline策略对比报告
================================================================================

📊 成功策略 (9/9):
--------------------------------------------------------------------------------
策略              年化收益         夏普比率       最大回撤       总收益       
--------------------------------------------------------------------------------
eata                37.84%      1.29    23.96%   260.52%
lightgbm            15.94%      0.69    27.67%    93.74%
ppo                  9.31%      0.53    31.89%    49.17%
buy_and_hold         8.22%      0.46    43.72%   226.44%
gp                   5.39%      0.33    44.78%    26.62%
macd                 4.76%      0.39    32.35%   100.71%
lstm                 0.00%      0.00     0.00%     0.00%
transformer        -15.22%     -0.48    63.84%   -52.36%
arima              -20.67%     -0.73    64.81%   -64.66%
