🏆 Baseline策略对比报告
================================================================================

📊 成功策略 (9/9):
--------------------------------------------------------------------------------
策略              年化收益         夏普比率       最大回撤       总收益       
--------------------------------------------------------------------------------
buy_and_hold        16.52%      0.68    52.73%   886.81%
eata                12.91%      0.47    49.36%    62.45%
ppo                  8.67%      0.44    38.75%    45.27%
macd                 7.70%      0.50    31.69%   203.54%
gp                   6.69%      0.36    52.73%    33.76%
transformer         -0.91%     -0.77     2.62%    -4.04%
lstm                -6.26%     -0.34    42.92%   -25.21%
lightgbm           -18.23%     -0.42    68.46%   -59.35%
arima              -23.14%     -0.60    74.70%   -69.34%
