🏆 Baseline策略对比报告
================================================================================

📊 成功策略 (9/9):
--------------------------------------------------------------------------------
策略              年化收益         夏普比率       最大回撤       总收益       
--------------------------------------------------------------------------------
buy_and_hold        12.82%      0.63    46.28%   508.35%
macd                 7.81%      0.57    25.19%   208.32%
eata                 7.77%      0.34    42.14%    34.84%
gp                   7.50%      0.40    46.28%    38.40%
ppo                  0.65%      0.15    45.31%     2.94%
lstm                 0.00%      0.00     0.00%     0.00%
lightgbm            -8.02%     -0.13    44.22%   -31.18%
arima              -12.05%     -0.28    47.55%   -43.82%
transformer        -14.80%     -0.40    69.51%   -51.31%
