🏆 Baseline策略对比报告
================================================================================

📊 成功策略 (9/9):
--------------------------------------------------------------------------------
策略              年化收益         夏普比率       最大回撤       总收益       
--------------------------------------------------------------------------------
eata                32.76%      0.88    45.58%   210.32%
lightgbm            19.28%      0.63    48.55%   120.04%
gp                  16.18%      0.57    47.74%    96.14%
transformer         16.14%      0.57    58.24%    95.84%
ppo                 10.44%      0.46    54.68%    56.20%
macd                 6.78%      0.40    49.29%   167.03%
buy_and_hold         3.95%      0.28    81.19%    78.53%
lstm                -0.56%     -0.40     2.86%    -2.47%
arima              -28.47%     -0.60    77.89%   -77.79%
