🏆 Baseline策略对比报告
================================================================================

📊 成功策略 (9/9):
--------------------------------------------------------------------------------
策略              年化收益         夏普比率       最大回撤       总收益       
--------------------------------------------------------------------------------
eata                44.87%      1.45    38.27%   339.77%
buy_and_hold         4.57%      0.31    79.39%    70.74%
lstm                -0.20%     -0.53     0.00%    -0.72%
gp                  -9.02%     -0.20    44.59%   -28.79%
macd                -9.10%     -0.27    78.53%   -68.12%
ppo                -11.89%     -0.43    42.81%   -36.54%
transformer        -22.27%     -0.77    67.78%   -59.54%
lightgbm           -23.45%     -0.82    69.63%   -61.50%
arima              -33.16%     -1.31    77.18%   -76.46%
