🏆 Baseline策略对比报告
================================================================================

📊 成功策略 (9/9):
--------------------------------------------------------------------------------
策略              年化收益         夏普比率       最大回撤       总收益       
--------------------------------------------------------------------------------
eata                24.80%      1.11    21.04%   142.36%
buy_and_hold        14.00%      0.79    36.90%   611.26%
transformer          9.79%      0.51    36.90%    52.14%
macd                 4.14%      0.40    22.54%    83.45%
gp                   2.18%      0.21    43.70%    10.15%
lstm                 0.34%      0.47     0.00%     1.54%
lightgbm            -2.48%      0.01    43.87%   -10.64%
ppo                 -5.80%     -0.27    42.28%   -23.55%
arima              -16.71%     -0.65    56.17%   -56.01%
