🏆 Baseline策略对比报告
================================================================================

📊 成功策略 (9/9):
--------------------------------------------------------------------------------
策略              年化收益         夏普比率       最大回撤       总收益       
--------------------------------------------------------------------------------
eata                38.14%      1.27    22.49%   263.68%
buy_and_hold         7.43%      0.43    59.10%   192.58%
lightgbm             5.36%      0.33    40.92%    26.32%
macd                 4.88%      0.38    31.67%   104.03%
ppo                  2.53%      0.23    31.39%    11.85%
lstm                 0.82%      0.66     0.00%     3.73%
transformer         -6.02%     -0.08    54.07%   -24.36%
gp                  -9.34%     -0.21    58.38%   -35.61%
arima              -17.28%     -0.54    66.94%   -57.35%
