🏆 Baseline策略对比报告
================================================================================

📊 成功策略 (9/9):
--------------------------------------------------------------------------------
策略              年化收益         夏普比率       最大回撤       总收益       
--------------------------------------------------------------------------------
eata                45.28%      1.36    26.23%   344.82%
buy_and_hold        22.48%      0.95    37.99%  1981.49%
transformer         14.52%      0.61    37.99%    83.86%
macd                12.78%      0.86    25.06%   505.66%
ppo                  9.60%      0.53    28.46%    50.92%
lstm                -2.27%     -0.15    25.77%    -9.78%
gp                  -9.19%     -0.18    64.30%   -35.15%
lightgbm            -9.58%     -0.20    66.34%   -36.27%
arima              -23.99%     -0.78    71.35%   -70.83%
