🏆 Baseline策略对比报告
================================================================================

📊 成功策略 (9/9):
--------------------------------------------------------------------------------
策略              年化收益         夏普比率       最大回撤       总收益       
--------------------------------------------------------------------------------
ppo                 11.41%      0.58    37.86%    62.51%
buy_and_hold         7.50%      0.43    53.95%   195.20%
eata                 7.40%      0.32    34.11%    33.01%
macd                 6.80%      0.51    27.81%   167.67%
lightgbm             5.93%      0.35    43.69%    29.38%
lstm                -0.24%     -0.47     1.08%    -1.08%
transformer         -4.42%     -0.03    53.95%   -18.36%
gp                  -6.91%     -0.12    51.46%   -27.52%
arima              -11.98%     -0.32    50.75%   -43.63%
