🏆 Baseline策略对比报告
================================================================================

📊 成功策略 (9/9):
--------------------------------------------------------------------------------
策略              年化收益         夏普比率       最大回撤       总收益       
--------------------------------------------------------------------------------
eata                21.81%      0.95    27.60%   119.98%
ppo                 16.54%      0.98    19.02%    98.90%
buy_and_hold         9.88%      0.62    36.99%   309.69%
transformer          6.08%      0.38    36.99%    30.36%
macd                 3.85%      0.39    20.06%    76.10%
lightgbm             0.33%      0.12    36.26%     1.46%
lstm                 0.01%      0.02     0.79%     0.04%
gp                  -1.61%      0.03    44.24%    -7.03%
arima              -16.98%     -0.75    59.27%   -56.65%
