🏆 Baseline策略对比报告
================================================================================

📊 成功策略 (9/9):
--------------------------------------------------------------------------------
策略              年化收益         夏普比率       最大回撤       总收益       
--------------------------------------------------------------------------------
lightgbm             9.86%      0.56    22.03%    52.29%
buy_and_hold         6.18%      0.41    41.21%   145.33%
ppo                  6.11%      0.46    17.94%    30.51%
macd                 5.19%      0.47    38.93%   113.28%
eata                 4.85%      0.24    28.48%    20.85%
lstm                -0.26%     -0.66     1.15%    -1.15%
transformer         -4.37%     -0.11    41.21%   -18.20%
gp                  -4.37%     -0.11    41.21%   -18.20%
arima              -15.63%     -0.72    62.82%   -53.41%
