🏆 Baseline策略对比报告
================================================================================

📊 成功策略 (9/9):
--------------------------------------------------------------------------------
策略              年化收益         夏普比率       最大回撤       总收益       
--------------------------------------------------------------------------------
eata                26.70%      0.70    69.21%   157.49%
buy_and_hold        14.59%      0.56    77.92%   667.98%
macd                13.85%      0.65    42.89%   597.13%
gp                  -6.15%      0.14    73.52%   -24.81%
lstm                -6.22%      0.14    75.15%   -25.07%
transformer         -6.22%      0.14    75.15%   -25.07%
arima              -13.74%     -0.02    81.32%   -48.51%
lightgbm           -25.59%     -0.30    77.44%   -73.34%
ppo                -31.65%     -0.72    84.92%   -81.91%
