🏆 Baseline策略对比报告
================================================================================

📊 成功策略 (9/9):
--------------------------------------------------------------------------------
策略              年化收益         夏普比率       最大回撤       总收益       
--------------------------------------------------------------------------------
gp                  10.97%      0.71    17.57%    45.31%
buy_and_hold         7.03%      0.41    54.23%   125.67%
eata                 5.41%      0.28    33.98%    23.42%
ppo                  4.20%      0.43    18.28%    15.93%
lightgbm             3.80%      0.31    36.53%    14.25%
macd                 3.55%      0.31    31.50%    51.86%
transformer          2.60%      0.24    31.79%     9.64%
lstm                 0.00%      0.00     0.00%     0.00%
arima              -13.97%     -0.83    46.21%   -41.74%
