🏆 Baseline策略对比报告
================================================================================

📊 成功策略 (9/9):
--------------------------------------------------------------------------------
策略              年化收益         夏普比率       最大回撤       总收益       
--------------------------------------------------------------------------------
transformer         26.52%      0.91    37.15%   187.64%
buy_and_hold        23.97%      0.94    37.15%  2395.86%
eata                22.29%      0.75    23.73%   123.48%
ppo                 18.99%      0.76    32.07%   118.39%
macd                 4.69%      0.35    38.74%    98.72%
lstm                 0.02%      0.47     0.00%     0.07%
lightgbm           -28.32%     -0.90    78.64%   -77.44%
arima              -31.27%     -1.04    81.77%   -81.45%
gp                 -32.80%     -1.11    86.33%   -83.24%
