🏆 Baseline策略对比报告
================================================================================

📊 成功策略 (9/9):
--------------------------------------------------------------------------------
策略              年化收益         夏普比率       最大回撤       总收益       
--------------------------------------------------------------------------------
eata                57.79%      1.50    27.66%   518.74%
gp                  17.50%      0.63    42.79%   106.38%
transformer         11.58%      0.49    57.89%    63.60%
buy_and_hold         5.19%      0.33    62.40%   113.35%
macd                 2.13%      0.21    36.55%    37.16%
lstm                 0.00%      0.00     0.00%     0.00%
lightgbm            -9.62%     -0.10    60.81%   -36.39%
ppo                -13.17%     -0.33    64.00%   -46.98%
arima              -15.60%     -0.30    60.67%   -53.32%
