🏆 Baseline策略对比报告
================================================================================

📊 成功策略 (9/9):
--------------------------------------------------------------------------------
策略              年化收益         夏普比率       最大回撤       总收益       
--------------------------------------------------------------------------------
eata                13.43%      0.58    23.01%    65.48%
gp                  11.20%      0.58    40.27%    61.10%
transformer          9.59%      0.52    25.74%    50.90%
buy_and_hold         9.41%      0.56    36.44%   284.57%
macd                 2.74%      0.27    33.95%    49.83%
lstm                -0.23%     -0.62     1.05%    -1.05%
ppo                 -1.12%      0.04    40.40%    -4.95%
lightgbm           -11.98%     -0.44    53.01%   -43.49%
arima              -21.84%     -0.97    68.82%   -66.95%
