🏆 Baseline策略对比报告
================================================================================

📊 成功策略 (9/9):
--------------------------------------------------------------------------------
策略              年化收益         夏普比率       最大回撤       总收益       
--------------------------------------------------------------------------------
eata                26.32%      0.91    21.56%   154.37%
ppo                 12.45%      0.58    34.58%    69.39%
lightgbm            11.45%      0.52    30.40%    62.39%
buy_and_hold        10.27%      0.50    49.84%   332.33%
macd                 3.65%      0.29    33.12%    71.10%
transformer         -0.41%     -0.47     0.00%    -1.84%
lstm                -1.39%     -0.55     5.46%    -6.10%
gp                  -7.87%     -0.14    56.47%   -30.79%
arima              -16.21%     -0.47    59.20%   -54.82%
