🏆 Baseline策略对比报告
================================================================================

📊 成功策略 (9/9):
--------------------------------------------------------------------------------
策略              年化收益         夏普比率       最大回撤       总收益       
--------------------------------------------------------------------------------
eata                26.65%      1.19    16.90%   157.02%
buy_and_hold         9.74%      0.64    27.37%   302.02%
ppo                  5.66%      0.42    18.19%    28.06%
transformer          5.01%      0.34    27.37%    24.57%
macd                 4.28%      0.45    21.22%    87.20%
lstm                 0.00%      0.00     0.00%     0.00%
lightgbm            -4.92%     -0.14    47.32%   -20.18%
gp                  -5.09%     -0.15    41.35%   -20.91%
arima              -17.06%     -0.82    60.24%   -56.84%
