🏆 Baseline策略对比报告
================================================================================

📊 成功策略 (9/9):
--------------------------------------------------------------------------------
策略              年化收益         夏普比率       最大回撤       总收益       
--------------------------------------------------------------------------------
eata                45.39%      1.21    34.20%   346.18%
buy_and_hold        18.27%      0.66    50.89%  1133.00%
gp                  10.97%      0.46    49.64%    59.62%
transformer         10.97%      0.46    49.64%    59.62%
macd                 7.26%      0.42    43.59%   185.74%
lstm                 1.62%      0.18    22.86%     7.49%
lightgbm           -15.70%     -0.23    71.56%   -53.40%
arima              -23.96%     -0.50    70.82%   -70.79%
ppo                -34.90%     -1.03    89.55%   -85.46%
