🏆 Baseline策略对比报告
================================================================================

📊 成功策略 (9/9):
--------------------------------------------------------------------------------
策略              年化收益         夏普比率       最大回撤       总收益       
--------------------------------------------------------------------------------
eata                47.40%      1.16    28.78%   371.35%
buy_and_hold        11.66%      0.51    61.63%   421.03%
lightgbm            10.18%      0.44    60.49%    54.27%
gp                   6.99%      0.37    58.96%    35.45%
ppo                  6.24%      0.35    62.07%    31.23%
macd                 3.99%      0.29    60.67%    79.72%
transformer          3.80%      0.29    61.63%    18.26%
lstm                 3.05%      0.28    61.63%    14.47%
arima              -34.72%     -0.87    88.17%   -85.28%
