🏆 Baseline策略对比报告
================================================================================

📊 成功策略 (9/9):
--------------------------------------------------------------------------------
策略              年化收益         夏普比率       最大回撤       总收益       
--------------------------------------------------------------------------------
buy_and_hold        30.83%      0.95    56.15%  5490.14%
eata                30.38%      0.87    44.35%   188.70%
ppo                 14.11%      0.59    50.47%    80.92%
transformer         10.58%      0.46    56.15%    57.10%
macd                 6.43%      0.39    36.08%   154.04%
gp                   0.36%      0.19    48.90%     1.62%
lstm                 0.05%      0.21     0.00%     0.24%
lightgbm            -6.78%     -0.01    57.70%   -26.96%
arima              -33.50%     -0.95    84.17%   -84.00%
