ticker,strategy,total_return,annualized_return,sharpe_ratio,max_drawdown
AAPL,buy_and_hold,42.886729453509666,0.31193132784613176,1.0796837153394363,0.4437687017144146
AAPL,macd,12.301662712622473,0.20417798265915876,1.116146418463894,0.3489578291278355
AAPL,arima,-0.26133459211465393,-0.10303371448545118,-0.11320245029698595,0.6874292188940904
AAPL,gp,0.5334545892882128,0.1658726096257166,0.6017005598974778,0.37118217540322324
AAPL,lightgbm,-0.23761168958728407,-0.09343097846307169,-0.08901238780282889,0.6366005243250226
AAPL,lstm,-0.48722749302652024,-0.21318901157143832,-1.0745456164176508,0.5895621580806125
AAPL,transformer,-0.10356758894668727,-0.03848731519247439,-0.0826685136161397,0.25886897838445083
AAPL,eata,7.216080433097835,0.6939213708178762,1.7695143245503586,0.2704561395660943
AAPL,finrl_ppo,0.04370333274727645,0.015451547646593511,0.18242891896786984,0.1626450171866492
AAPL,finrl_a2c,0.7186085112261813,0.21423405442004784,0.7861634152989254,0.28541546378273197
AAPL,finrl_sac,0.0,0.0,0.0,0.0
AAPL,finrl_td3,0.0,0.0,0.0,0.0
AAPL,finrl_ddpg,0.0,0.0,0.0,0.0
AMD,buy_and_hold,28.15336084029106,0.27396393107199124,0.7020757524960338,0.8405511782383538
AMD,macd,12.019622872721937,0.20232658370857215,0.6484673829039506,0.602859176898228
AMD,arima,-0.35398241140079156,-0.1451644311407383,0.0016580982271328071,0.7950606860268818
AMD,gp,-0.1675101254934166,-0.06369339255403073,0.16501988998771325,0.6920986283357033
AMD,lightgbm,-0.37335417328861653,-0.15547315144757023,-0.02307312017427172,0.76142938896911
AMD,lstm,-0.32372835056790217,-0.13100383474268495,-0.368130435438525,0.4564710928434449
AMD,transformer,-0.056744924812364594,-0.020752400506874324,-0.25283483231681775,0.10948753356933594
AMD,eata,0.4193766373882284,0.09159659731651137,0.40049556769569206,0.7279384577796897
AMD,finrl_ppo,-0.12470080207064427,-0.046621806043015135,0.1002863711750347,0.6544970595823836
AMD,finrl_a2c,0.10932860233795894,0.03789268499276299,0.31655938908513725,0.6544868040786807
AMD,finrl_sac,0.0,0.0,0.0,0.0
AMD,finrl_td3,0.0,0.0,0.0,0.0
AMD,finrl_ddpg,0.0,0.0,0.0,0.0
AMT,buy_and_hold,6.068234369486707,0.15073724598125082,0.6868724604533841,0.39467098266965017
AMT,macd,0.9331683660685994,0.04846200061664052,0.3701747111873583,0.3214042836366832
AMT,arima,1.9728893002869512,0.4786283683410808,1.3240653367842161,0.22718990625953697
AMT,gp,-0.43723914368494443,-0.18647168072016052,-0.43722436488356303,0.4645640560350462
AMT,lightgbm,1.7447713699036642,0.44059428447309723,1.2530913290944625,0.22744851617733167
AMT,lstm,-0.007892012596130371,-0.0028402273859088334,-0.5995718872091372,0.0
AMT,transformer,0.41057099004409925,0.1314332974579504,0.7913444373974352,0.15736226752499058
AMT,eata,0.5237730384979222,0.11115714549862221,0.4387710144711268,0.43866510053317703
AMT,finrl_ppo,-0.112708267004059,-0.041959870471902305,-0.03623528105393684,0.3946659446542103
AMT,finrl_a2c,-0.08233691701354973,-0.030331466730848855,0.02383540691705574,0.39464496081161216
AMT,finrl_sac,0.0,0.0,0.0,0.0
AMT,finrl_td3,0.0,0.0,0.0,0.0
AMT,finrl_ddpg,-0.08233691701354973,-0.030331466730848855,0.02383540691705574,0.39464496081161216
BAC,buy_and_hold,1.271807430460651,0.06068309521729143,0.35857095912613757,0.7801120333599023
BAC,macd,1.6023426953023576,0.07107785479780548,0.3786837697213973,0.7138851907986707
