🏆 Baseline策略对比报告
================================================================================

📊 成功策略 (9/9):
--------------------------------------------------------------------------------
策略              年化收益         夏普比率       最大回撤       总收益       
--------------------------------------------------------------------------------
lstm                14.08%      0.88    13.79%    80.72%
eata                11.06%      0.43    43.11%    52.07%
buy_and_hold        10.40%      0.50    60.72%   339.78%
macd                 6.14%      0.41    37.22%   144.01%
lightgbm             2.31%      0.24    53.15%    10.77%
gp                  -7.72%     -0.06    65.08%   -30.29%
transformer         -9.35%     -0.11    60.72%   -35.67%
ppo                -19.96%     -0.64    72.86%   -63.22%
arima              -23.09%     -0.59    73.18%   -69.24%
