🏆 Baseline策略对比报告
================================================================================

📊 成功策略 (9/9):
--------------------------------------------------------------------------------
策略              年化收益         夏普比率       最大回撤       总收益       
--------------------------------------------------------------------------------
eata                30.89%      0.93    37.80%   193.23%
transformer         21.83%      0.76    38.55%   142.79%
buy_and_hold        16.23%      0.64    51.37%   850.91%
macd                14.53%      0.75    35.81%   662.23%
ppo                 12.89%      0.61    39.59%    72.41%
lstm                -0.11%     -0.47     0.48%    -0.48%
gp                  -7.29%     -0.06    56.28%   -28.82%
lightgbm           -20.83%     -0.54    78.28%   -64.82%
arima              -30.06%     -0.91    80.06%   -79.93%
