strategy,annualized_return,sharpe_ratio,max_drawdown,total_return
eata,0.1761,0.5406,0.3397,0.8468
macd,0.1542,0.5923,0.1595,0.1245
buy_and_hold,0.1379,0.5144,0.2457,0.1015
gbdt,0.1136,0.3168,0.2065,0.0448
arima,0.0852,0.2354,0.2543,0.0769
finrl_ppo,0.0539,0.2696,0.1119,0.0567
finrl_a2c,0.0491,0.2347,0.1063,0.0262
gp,0.0464,0.0845,0.2723,0.048
finrl_sac,0.039,0.1389,0.0726,0.0316
transformer,0.0322,0.0905,0.0929,0.0351
finrl_td3,0.0245,0.1049,0.0913,0.0392
finrl_ddpg,0.0125,0.063,0.0205,0.0104
lightgbm,0.0016,0.1812,0.5174,0.0924
lstm,-0.0749,-0.341,0.2598,-0.049
