日期,买卖信号,Q25预测,Q75预测,Q25真实,Q75真实
2020-01-02,-1,47.2653995513916,49.19459953308105,47.2653995513916,49.19459953308105
2020-01-03,0,46.06979835510254,47.950198287963865,46.06979835510254,47.950198287963865
2020-01-06,-1,46.393200149536135,48.28680015563965,46.393200149536135,48.28680015563965
2020-01-07,-1,46.66759895324707,48.57239891052246,46.66759895324707,48.57239891052246
2020-01-08,-1,46.951799850463864,48.868199844360355,46.951799850463864,48.868199844360355
2020-01-09,-1,47.14780059814453,49.0722006225586,47.14780059814453,49.0722006225586
2020-01-10,-1,46.843999252319335,48.75599922180176,46.843999252319335,48.75599922180176
2020-01-13,-1,47.0596004486084,48.980400466918944,47.0596004486084,48.980400466918944
2020-01-14,-1,46.7557991027832,48.66419906616211,46.7557991027832,48.66419906616211
2020-01-15,0,46.17759895324707,48.06239891052246,46.17759895324707,48.06239891052246
2020-01-16,-1,48.019999999999996,49.980000000000004,48.019999999999996,49.980000000000004
2020-01-17,-1,47.37320014953613,49.30680015563965,47.37320014953613,49.30680015563965
2020-01-21,-1,47.48100074768066,49.419000778198246,47.48100074768066,49.419000778198246
2020-01-22,-1,47.95140029907226,49.9086003112793,47.95140029907226,49.9086003112793
2020-01-23,-1,47.451598205566405,49.38839813232422,47.451598205566405,49.38839813232422
2020-01-24,0,46.207001495361325,48.09300155639649,46.207001495361325,48.09300155639649
2020-01-27,1,44.84479835510254,46.675198287963866,44.84479835510254,46.675198287963866
2020-01-28,-1,45.37399925231934,47.22599922180176,45.37399925231934,47.22599922180176
2020-01-29,-1,45.031000747680665,46.86900077819824,45.031000747680665,46.86900077819824
2020-01-30,-1,46.2461986541748,48.13379859924316,46.2461986541748,48.13379859924316
2020-01-31,0,44.63899925231934,46.46099922180176,44.63899925231934,46.46099922180176
2020-02-03,-1,44.76640029907227,46.593600311279296,44.76640029907227,46.593600311279296
2020-02-04,-1,46.13840179443359,48.021601867675784,46.13840179443359,48.021601867675784
2020-02-05,-1,47.3242008972168,49.25580093383789,47.3242008972168,49.25580093383789
2020-02-06,-1,46.87340179443359,48.786601867675785,46.87340179443359,48.786601867675785
2020-02-07,0,46.363801345825195,48.25620140075684,46.363801345825195,48.25620140075684
2020-02-10,0,45.8346004486084,47.705400466918945,45.8346004486084,47.705400466918945
2020-02-11,-1,46.716598205566406,48.62339813232422,46.716598205566406,48.62339813232422
2020-02-12,-1,46.834200897216796,48.74580093383789,46.834200897216796,48.74580093383789
2020-02-13,-1,46.344200897216794,48.23580093383789,46.344200897216794,48.23580093383789
2020-02-14,-1,46.2853995513916,48.17459953308106,46.2853995513916,48.17459953308106
2020-02-18,-1,45.795399551391604,47.66459953308105,45.795399551391604,47.66459953308105
2020-02-19,-1,46.491198654174795,48.38879859924316,46.491198654174795,48.38879859924316
2020-02-20,-1,47.60840179443359,49.551601867675785,47.60840179443359,49.551601867675785
2020-02-21,1,45.266198654174794,47.11379859924316,45.266198654174794,47.11379859924316
2020-02-24,1,42.923999252319334,44.67599922180176,42.923999252319334,44.67599922180176
2020-02-25,1,40.76799850463866,42.43199844360351,40.76799850463866,42.43199844360351
2020-02-26,0,40.591598205566406,42.24839813232422,40.591598205566406,42.24839813232422
2020-02-27,-1,41.07179985046387,42.74819984436035,41.07179985046387,42.74819984436035
2020-02-28,0,39.935,41.565,39.935,41.565
2020-03-02,-1,41.1403995513916,42.81959953308105,41.1403995513916,42.81959953308105
2020-03-03,1,37.53399925231933,39.06599922180176,37.53399925231933,39.06599922180176
2020-03-04,1,36.41679985046387,37.90319984436035,36.41679985046387,37.90319984436035
2020-03-05,1,34.10399925231933,35.49599922180176,34.10399925231933,35.49599922180176
2020-03-06,1,33.44740104675293,34.81260108947754,33.44740104675293,34.81260108947754
2020-03-09,1,29.664600448608397,30.875400466918947,29.664600448608397,30.875400466918947
2020-03-10,-1,32.2811986541748,33.59879859924317,32.2811986541748,33.59879859924317
2020-03-11,1,31.781400299072263,33.078600311279295,31.781400299072263,33.078600311279295
2020-03-12,1,27.861400299072265,28.998600311279297,27.861400299072265,28.998600311279297
2020-03-13,-1,33.19259895324707,34.54739891052246,33.19259895324707,34.54739891052246
2020-03-16,1,29.948799476623535,31.17119945526123,29.948799476623535,31.17119945526123
2020-03-17,0,33.00640029907227,34.353600311279294,33.00640029907227,34.353600311279294
2020-03-18,1,31.771598205566406,33.06839813232422,31.771598205566406,33.06839813232422
2020-03-19,1,31.183599700927733,32.4563996887207,31.183599700927733,32.4563996887207
2020-03-20,1,30.134999999999998,31.365000000000002,30.134999999999998,31.365000000000002
2020-03-23,1,27.93,29.07,27.93,29.07
2020-03-24,1,30.105599327087397,31.33439929962158,30.105599327087397,31.33439929962158
2020-03-25,-1,33.48659820556641,34.853398132324216,33.48659820556641,34.853398132324216
2020-03-26,1,33.47679985046387,34.84319984436035,33.47679985046387,34.84319984436035
2020-03-27,1,32.937800598144534,34.28220062255859,32.937800598144534,34.28220062255859
2020-03-30,1,33.64340179443359,35.01660186767578,33.64340179443359,35.01660186767578
2020-03-31,1,32.947598953247066,34.292398910522465,32.947598953247066,34.292398910522465
2020-04-01,1,32.3007991027832,33.61919906616211,32.3007991027832,33.61919906616211
2020-04-02,1,33.70219940185547,35.07779937744141,33.70219940185547,35.07779937744141
2020-04-03,1,32.92799850463867,34.271998443603515,32.92799850463867,34.271998443603515
2020-04-06,-1,35.35840179443359,36.801601867675785,35.35840179443359,36.801601867675785
2020-04-07,1,34.2411986541748,35.63879859924317,34.2411986541748,35.63879859924317
