ticker,strategy,strategy_name,annual_return,sharpe_ratio,max_drawdown,win_rate,volatility,calmar_ratio,sortino_ratio,total_return,num_trades,experiment_time,lookback,lookahead,stride,depth,experiment_date
AAPL,eata,EATA,53.5741696489709,2.1159248470496426,0.2588630235339258,0,0.0,0,0,7.542615889820097,1000,223905,50,10,1,300,20251121
AMZN,eata,EATA,32.16744913081555,1.5938208493648585,0.1945212165173799,0,0.0,0,0,3.032947238754274,1000,223905,50,10,1,300,20251121
