ticker,annual_return,volatility
ABT,-2.017909229130832,16.74306181968393
AEP,-6.276973662271623,14.160714113802403
AMAT,-29.672029124709397,27.815530199921447
AMGN,-21.080245738136195,21.067853071002308
AMT,8.64518845971627,17.969753601142145
AMZN,18.185541403600492,21.985285133325494
APD,-17.167360179715608,15.24078505292819
AXP,-15.014479567621175,16.587198584162767
BK,-19.215819892590027,16.74969862278967
BLK,-10.015597191755255,16.3514067037542
BMY,-20.982737903621008,24.03177986936619
C,3.1963679823895808,18.696139723747486
COP,-29.233225089034764,30.80941175794669
CRM,-22.539444793289032,20.908697460425827
CSCO,-7.1647202480404015,16.564490283021787
D,-17.358181307846856,15.556693731942813
DE,-17.887026030138053,22.218529648468024
DIS,-10.97308035332687,15.19894551431496
ECL,-14.946544039144772,11.647542164160326
EOG,-7.263383104543763,23.763254017294635
F,15.075736214997825,20.52396291753005
FCX,-45.80989645763503,42.93432045414732
GE,22.489737783462527,20.334903044652314
GILD,11.630629024485417,22.226676051965
HAL,9.90597299135918,27.81597749049101
HD,15.640837941401964,15.745639192966864
HON,-15.759578277247643,13.488446585693826
INTU,-10.790350965770813,17.387277515360672
ISRG,-4.3224695463570555,21.170319748098013
JNJ,5.321161260535723,13.413199195791284
KEY,-21.463994617577033,23.277993580863544
LMT,-16.102549181914803,15.593155987699433
LOW,-3.923058383128908,22.26985012945514
LRCX,7.242606965035159,28.647873465474106
MCD,-6.265569869918631,13.372244075051617
MDT,-10.176153679487099,17.21401249800515
MMM,9.19272752200726,14.145795508091677
MRK,-1.5720527500706738,25.700455149857838
MU,11.027695420528483,38.51291385644824
NEE,-19.751267326651234,15.67969786327151
OXY,0.5094851225139863,20.286828182021384
PFE,2.155880563575918,15.492188328670094
PG,-5.834713803474301,12.937061363265581
PLD,-12.746646250494198,18.940280887313705
PXD,-30.503485498071758,29.445056463614787
REGN,-13.46448260052846,32.21651819944907
RF,-14.62867282530993,24.372880512211204
SBUX,17.56794504914543,16.855511399972844
SHW,-3.5256883020173824,19.369623874669745
SLB,12.556519827244994,19.545744894125527
SNPS,-2.9912435139069604,16.645522945894093
SO,-3.782890810740047,13.950330544031717
SPG,-12.636069418560847,20.00358761151156
STT,-12.727738899580165,18.62286800877214
T,14.324041487224548,18.173559107111366
TJX,-7.609560280827177,17.572476335795432
TMO,-2.510524117181756,18.388803414875202
TXN,-2.8123213506223155,19.148446735741743
UNP,-7.508418655261206,19.617779623560008
UPS,3.6498369036655376,16.112196377605244
USB,-7.13963530826065,14.304033750344642
VZ,46.69846763192804,17.376534255040696
