ticker,annual_return,volatility
ABT,19.203256652175547,16.700196983701172
AEP,-2.930011789279796,14.164397955620606
AMAT,48.92857725602391,27.748684050708206
AMGN,2.077423885442453,21.109504859916886
AMT,13.408718272989884,17.958259475085104
AMZN,50.3755704288406,21.8491636327339
APD,4.032936672985921,15.278127389520316
AXP,27.020535282915105,16.536882448179583
BK,23.58519920575588,16.736259895002064
BLK,27.743769586959456,16.28030370473298
BMY,1.1006936463347383,24.065800365960328
C,38.71617726985359,18.571546436937076
COP,22.084426914000012,30.827817273931007
CRM,22.488128738194703,20.912442162725906
CSCO,19.346693031250382,16.525121116412034
D,-0.8672203412195101,15.597443565498207
DE,61.185558563927756,22.018465017354913
DIS,5.5040620230874415,15.207767519953682
ECL,5.526927807343163,11.682376364204954
EOG,11.059100189353565,23.75029718290109
F,-8.581067525584263,20.54469221933607
FCX,29.70899741258448,43.00207365578728
GE,-38.08198798947052,20.177249662515116
GILD,2.8620917839718096,22.240457673071546
HAL,8.363258534522844,27.81863908052056
HD,25.468533560822458,15.704528749683796
HON,19.141162208444396,13.477129313752101
INTU,27.42571520449124,17.32249060346028
ISRG,43.57931279162632,21.0313371783042
JNJ,4.270267869540834,13.414853875634497
KEY,43.90593961291596,23.186108977393605
LMT,20.6490132907865,15.57617297847341
LOW,14.70055118203435,22.246602508914158
LRCX,50.14310960581694,28.516711604308764
MCD,25.184773714606767,13.295343564955417
MDT,-4.916180675618065,17.222493178079976
MMM,19.552761260122242,14.109090586095016
MRK,-7.182347158525748,25.699334963190662
MU,103.41801549971841,38.21068107745988
NEE,11.32925944847305,15.716248277277936
OXY,-3.4777543740342143,20.287255766246854
PFE,-0.19013221350386855,15.493489765762927
PG,-3.243879250605608,12.940257717898973
PLD,7.007446775918802,18.947314701469047
PXD,1.8980079975062125,29.511682265068185
REGN,-13.95661864079779,32.21583325436101
RF,59.980049959379976,24.181486183439898
SBUX,-0.8957286357968441,16.8921873096524
SHW,23.135189066306005,19.316777990878673
SLB,-10.101087008612597,19.55717386296993
SNPS,33.76742994863835,16.5342147384881
SO,-12.377145185384986,13.930085926363686
SPG,-21.02012174322273,19.97028434133331
STT,32.5827468932939,18.541836066283597
T,-9.759309725502641,18.19019607854993
TJX,-3.911598977047681,17.5764170205006
TMO,20.616331812549827,18.343559943990975
TXN,28.207210996867293,19.074184270938634
UNP,24.288288323606146,19.564280372321967
UPS,1.3693915694026115,16.114245078886828
USB,17.856893423746367,14.267208763744021
VZ,-3.3200456222131414,17.557408097018502
