Strategy,Count,AR (%),SR,MDD (%),Win Rate (%),Calmar
Buy & Hold,62,12.679525440966058,0.5701716687603673,12.03136673395856,54.83870967741935,1.0538724087911033
PPO (FinRL),62,7.498167803759117,0.5648741541970166,8.409667006647426,58.06451612903226,0.8916129256761516
A2C (FinRL),62,7.144450834084316,0.47392856822169804,8.565376983168733,51.61290322580645,0.8341081598770741
MACD,62,6.003385132076164,0.4028494490842139,9.258694706689784,50.0,0.648405128612619
DDPG (FinRL),62,5.435045387409907,0.3354036459107938,6.360858646811137,30.64516129032258,0.854451527567687
TD3 (FinRL),62,3.872682426352393,0.27081680840072114,7.147506553967796,32.25806451612903,0.541822857679305
Transformer,62,0.03299763665654095,-0.03486807468967276,4.240928132150833,24.193548387096776,0.007780758274676501
ARIMA,62,-2.5049561065024024,-0.12256532077413423,21.336633776136633,32.25806451612903,-0.11740165448703538
GBDT,62,-4.450060629328558,-0.21852586851814224,19.692513390431923,20.967741935483872,-0.22597728086302712
GP (Operon),62,-4.693130519317242,-0.21923700374749464,19.271079781201276,22.58064516129032,-0.24353230709445445
LSTM,62,-10.98350213929833,-0.5878123965420289,25.4853237110635,9.67741935483871,-0.4309736169656834
