Annual Return (AR),Sharpe Ratio,Sortino Ratio,Max Drawdown (MDD),Calmar Ratio,Win Rate,Volatility (Annual),Alpha,Beta,IRR,Profit Factor,Ticker
0.1328154669473611,0.6618047431892558,0.955531378787148,0.2065787746999926,0.6429289124221234,0.5183957573748758,0.1837570426741287,0.1336087211931777,-0.1454048443022038,0.1328154669473611,1.1463498646178507,AEP
0.2125160916975441,0.9313576718591288,1.4024922610711783,0.307497770607306,0.6911142519109205,0.5170699370235333,0.2088810746793024,0.1875239991208487,0.0987954980103586,0.2125160916975441,1.1981162578577842,MDT
0.1832731042097559,0.7186639497575008,1.0179740249641311,0.3427474341929434,0.5347176548273902,0.5329797812396421,0.249807340370074,0.1857071664547034,-0.0462004294133468,0.1832731042097559,1.1507185812173513,BLK
0.2716637754616338,0.916886156846484,1.3092014790775786,0.3964240040053511,0.6852858876274472,0.5203844879018893,0.2846136998751719,0.2617153138100516,-0.0195357368390032,0.2716637754616338,1.1931230388831906,C
0.1059439050186517,0.4325829492407806,0.6111838461392797,0.3550196900127446,0.2984169836181438,0.5124295657938349,0.2717422074755207,0.1285450956994377,-0.0550894261841315,0.1059439050186517,1.0974798360977656,INTU
0.2826322937260024,0.8120137013388844,1.260386522557025,0.4810083864380899,0.5875828814938545,0.5207159429897249,0.3617943293082348,0.2512655944452224,0.1804494739219874,0.2826322937260024,1.1699154302591106,LRCX
0.1548912337348409,0.6269361655289221,0.859359685917082,0.5433592305154225,0.2850623032352159,0.5213788531653961,0.2462840221940931,0.1752996377630724,-0.0936122000733273,0.1548912337348409,1.137194279080577,SNPS
0.2492777492489777,0.8316795136500016,1.187396979430936,0.3570716017393373,0.6981169827976149,0.5246934040437521,0.2962825808812528,0.2089322381912176,0.1705049468054226,0.2492777492489777,1.181973256802575,ISRG
0.0819890285312965,0.3578120045079364,0.499267537487354,0.4025608705501954,0.2036686487169976,0.5094464700033146,0.254218572169667,0.1022742024766706,-0.0919616261550258,0.0819890285312965,1.084613194807361,AXP
0.1763063787589938,0.7513363183781611,0.929187967793903,0.5931049502848453,0.2972600020861749,0.5293337752734505,0.2232754850559291,0.1326125699213912,0.1815850618681308,0.1763063787589938,1.1693000124382775,HD
0.4817261603123708,1.228765554556401,1.9580334472777936,0.3409118314978216,1.4130520439723988,0.5207159429897249,0.3548731593795044,0.433963263859229,0.0330693369860833,0.4817261603123708,1.2518877141564038,HAL
0.1235408691494881,0.569986732866113,0.8339004298936182,0.2060510783163758,0.5995642932758666,0.5094464700033146,0.2067870134013351,0.1145512298214396,0.0248393644547501,0.1235408691494881,1.1245132052522542,ABT
0.3115880820193406,0.9238930014285986,1.45695110412827,0.3147366529224125,0.989996173391829,0.5280079549221081,0.3304611596733686,0.3119731743521834,-0.042346692174073,0.3115880820193406,1.1934754768209863,CRM
0.2987451166818493,1.0947839049184822,1.6512074974176076,0.3449395959021049,0.866079511401278,0.5266821345707656,0.2487247484424055,0.271886672141623,0.0021268083756965,0.2987451166818493,1.2337924841660692,LOW
0.2025890387616127,0.9295215788014538,1.2873409909384912,0.3057629583402463,0.6625689385703029,0.5356314219423268,0.1981579130163609,0.1743242231807576,0.059720066028971,0.2025890387616127,1.2050255026843106,LMT
0.1963618855953544,0.8080837771184719,1.2143618715165432,0.2631128201798523,0.7463029945144066,0.5174013921113689,0.2298313479194859,0.1879015992428608,-0.0155922071919543,0.1963618855953544,1.1669752521864347,UNP
0.1301154441505183,0.6515296988161313,0.9025652011341896,0.2271533426328685,0.5728088464047588,0.5210473980775605,0.1827596590461544,0.1185583145725793,-0.0484731592954409,0.1301154441505183,1.145247397888267,T
