Strategy,Mean AR (%),Median AR (%),Mean Sharpe,Median Sharpe,Mean MDD (%),Win Rate (%)
PPO (FinRL),7.498167803759113,1.7414625126835053,0.5648741541970166,0.48330944231781103,8.40966700664742,58.06451612903226
A2C (FinRL),7.144450834084314,0.04164396818466446,0.47392856822169804,0.09155544979415689,8.565376983168731,51.61290322580645
TD3 (FinRL),3.8726824263523945,0.0,0.27081680840072114,0.0,7.147506553967793,32.25806451612903
DDPG (FinRL),5.4350453874099065,0.0,0.3354036459107938,0.0,6.3608586468111366,30.64516129032258
