Strategy,AR (%),SR,MDD (%),Win Rate (%),Calmar,Count
EATA (Ours),21.21541782480569,0.7595877747376386,36.079607057412396,51.77275011494007,0.618130859059605,
Buy & Hold,12.679525440966058,0.5701716687603673,12.03136673395856,54.83870967741935,1.053872408791103,62.0
PPO (FinRL),7.498167803759117,0.5648741541970166,8.409667006647426,58.06451612903226,0.8916129256761516,62.0
A2C (FinRL),7.144450834084316,0.473928568221698,8.565376983168733,51.61290322580645,0.8341081598770741,62.0
MACD,6.003385132076164,0.4028494490842139,9.258694706689784,50.0,0.648405128612619,62.0
DDPG (FinRL),5.435045387409907,0.3354036459107938,6.360858646811137,30.64516129032258,0.854451527567687,62.0
TD3 (FinRL),3.872682426352393,0.2708168084007211,7.147506553967796,32.25806451612903,0.541822857679305,62.0
Transformer,0.0329976366565409,-0.0348680746896727,4.240928132150833,24.193548387096776,0.0077807582746765,62.0
ARIMA,-2.5049561065024024,-0.1225653207741342,21.336633776136637,32.25806451612903,-0.1174016544870353,62.0
GBDT,-4.450060629328558,-0.2185258685181422,19.692513390431923,20.967741935483872,-0.2259772808630271,62.0
GP (Operon),-4.693130519317242,-0.2192370037474946,19.27107978120128,22.58064516129032,-0.2435323070944544,62.0
LSTM,-10.98350213929833,-0.5878123965420289,25.4853237110635,9.67741935483871,-0.4309736169656834,62.0
